"","servidor","DataCenter","tipo","Powerstate","fv","capacidad_total","capacidad_usada","capacidad_asignada"
"54","TQ360PROSQLP02","QRO","PRODUCCION","poweredOn","fisico",658.15,484.107422841467,174.042577158533
"55","TQACWPROMSQL01","QRO","PRODUCCION","poweredOn","fisico",651.4,615.235861234505,36.1641387654954
"56","TQACWPROMSQL01_DATOS","QRO","PRODUCCION","poweredOn","fisico",128,128,0
"57","TQACWPROMSQL02","QRO","PRODUCCION","poweredOn","fisico",630.2,578.147647743029,52.0523522569706
"58","TQACWPROMSQL02_DATOS","QRO","PRODUCCION","poweredOn","fisico",128,128,0
"59","TQBTOSTRIRCT01","QRO","STRESS","poweredOn","fisico",68.7,23.59845,45.10155
"60","TQBTOSTRIRCT02","QRO","STRESS","poweredOn","fisico",19.6,1.9208,17.6792
"61","TQBTOSTRPCBD01","QRO","STRESS","poweredOn","fisico",105.2,55.3352,49.8648
"62","TQBTOSTRPERF01","QRO","STRESS","poweredOn","fisico",20.8,2.1632,18.6368
"63","TQBUSPROMSQL01","QRO","PRODUCCION","poweredOn","fisico",8.2,0.5253125,7.6746875
"64","TQBUSPROMSQL02","QRO","PRODUCCION","poweredOn","fisico",8.3,0.538203125,7.761796875
"65","TQBUSPROMSQL03","QRO","PRODUCCION","poweredOn","fisico",8.1,0.512578125,7.587421875
"66","TQBUSPROMSQL04","QRO","PRODUCCION","poweredOn","fisico",8.2,0.5253125,7.6746875
"67","TQBUSPROMSQL05","QRO","PRODUCCION","poweredOn","fisico",8.3,0.538203125,7.761796875
"68","TQBUSPROMSQL06","QRO","PRODUCCION","poweredOn","fisico",8.2,0.5253125,7.6746875
"69","TQBUSPROMSQL07","QRO","PRODUCCION","poweredOn","fisico",8.3,0.538203125,7.761796875
"70","TQBUSPROMSQL08","QRO","PRODUCCION","poweredOn","fisico",8.4,0.55125,7.84875
"71","TQBUSPROSQIN01","QRO","PRODUCCION","poweredOn","fisico",8.3,0.538203125,7.761796875
"72","TQBUSPROSQIN02","QRO","PRODUCCION","poweredOn","fisico",8.3,0.538203125,7.761796875
"73","TQCDFPRODB2X01","QRO","PRODUCCION","poweredOn","fisico",1685.66666666667,1569.17628643601,116.490380230655
"74","TQCDFPRODB2X02","QRO","PRODUCCION","poweredOn","fisico",6636.36666666667,5557.95828699405,1078.40837967262
"75","TQCDFPRODB2X03","QRO","PRODUCCION","poweredOn","fisico",1690.76666666667,1576.27985786458,114.486808802083
"76","TQCDFPRODB2X04","QRO","PRODUCCION","poweredOn","fisico",1682.36666666667,1567.87985786458,114.486808802083
"77","TQCDFPRODB2X05","QRO","PRODUCCION","poweredOn","fisico",1682.36666666667,1567.87985786458,114.486808802083
"78","TQCDFPRODB2X06","QRO","PRODUCCION","poweredOn","fisico",1690.76666666667,1576.27985786458,114.486808802083
"79","TQCRMDO1","QRO","OTROS","poweredOn","fisico",2468.5,2054.54255645944,413.957443540564
"80","TQCRMDO2","QRO","OTROS","poweredOn","fisico",2418.3,2039.05711364935,379.242886350652
"81","TQCRMDO3","QRO","OTROS","poweredOn","fisico",2676.55,2077.93672415375,598.613275846252
"82","TQCRMDO4","QRO","OTROS","poweredOn","fisico",3680.35,2699.00799362498,981.342006375019
"83","TQCRMPO1_MIG","QRO","OTROS","poweredOn","fisico",13929.5,12938.6062526821,990.893747317905
"84","TQCRMPO2_MIG","QRO","OTROS","poweredOn","fisico",12312.3,11315.7677110467,996.53228895333
"85","TQDNSPROSNTP03","QRO","PRODUCCION","poweredOn","fisico",0,0,0
"86","TQDNSPROSNTP04","QRO","PRODUCCION","poweredOn","fisico",0.4,0.005,0.395
"87","TQDOCPO1","QRO","OTROS","poweredOn","fisico",1335.75,1033.86609323137,301.883906768628
"88","TQDOCPO2","QRO","OTROS","poweredOn","fisico",1331.25,1036.50808136194,294.741918638064
"89","TQDWHPRODB2X01_MIGRADO","QRO","PRODUCCION","poweredOn","fisico",2282.4,1955.39399162623,327.006008373766
"90","TQDWHPRODB2X02_MIGRADO","QRO","PRODUCCION","poweredOn","fisico",9365,7703.23881991745,1661.76118008255
"91","TQDWHPRODB2X03_MIGRADO","QRO","PRODUCCION","poweredOn","fisico",10135.1,8646.59138096282,1488.50861903718
"92","TQDWHPRODB2X04_MIGRADO","QRO","PRODUCCION","poweredOn","fisico",2501,2501.10023752969,-0.100237529691213
"93","TQDWHUATTRLX01","QRO","UAT","poweredOn","fisico",464.65,421.678950195312,42.9710498046875
"94","TQDWHUATTRLX01_MG","QRO","UAT","poweredOn","fisico",531.85,488.679543667123,43.1704563328774
"95","TQDYPUATORCL01_MIG","QRO","UAT","poweredOn","fisico",15.1,6.76587537091988,8.33412462908012
"96","TQERMDO1","QRO","OTROS","poweredOn","fisico",413,281.913477439861,131.086522560139
"97","TQERMDO2","QRO","OTROS","poweredOn","fisico",414,283.188180997173,130.811819002827
"98","TQERMPO1","QRO","OTROS","poweredOn","fisico",8554.9,8021.90222874722,532.997771252782
"99","TQERMPO2","QRO","OTROS","poweredOn","fisico",1412.5,1245.98276320848,166.517236791521
"100","TQESXAPPSPAC02","QRO","ESX","poweredOn","fisico",222.5,86.7594224773243,135.740577522676
"101","TQESXAPPSPAC04","QRO","ESX","poweredOn","fisico",222.5,86.7594224773243,135.740577522676
"102","TQESXAPPSPAC10","QRO","ESX","poweredOn","fisico",222.5,86.7594224773243,135.740577522676
"103","TQESXAPPSPAC105","QRO","ESX","poweredOn","fisico",153.5,88.477365217402,65.0226347825979
"104","TQESXAPPSPAC107","QRO","ESX","poweredOn","fisico",153.5,88.477365217402,65.0226347825979
"105","TQESXAPPSPAC111","QRO","ESX","poweredOn","fisico",244.9,114.64325961445,130.25674038555
"106","TQESXAPPSPAC117","QRO","ESX","poweredOn","fisico",244.9,114.64325961445,130.25674038555
"107","TQESXAPPSPAC13","QRO","ESX","poweredOn","fisico",153.5,88.477365217402,65.0226347825979
"108","TQESXAPPSPAC131","QRO","ESX","poweredOn","fisico",70.975,39.1867026448853,31.7882973551147
"109","TQESXAPPSPAC133","QRO","ESX","poweredOn","fisico",118.314285714286,50.6925196506275,67.6217660636582
"110","TQESXAPPSPAC134","QRO","ESX","poweredOn","fisico",118.314285714286,50.6925196506275,67.6217660636582
"111","TQESXAPPSPAC140","QRO","ESX","poweredOn","fisico",70.975,39.1867026448853,31.7882973551147
"112","TQESXAPPSPAC143","QRO","ESX","poweredOn","fisico",70.975,39.1867026448853,31.7882973551147
"113","TQESXAPPSPAC144","QRO","ESX","poweredOn","fisico",70.975,39.1867026448853,31.7882973551147
